A,B
fancd2,rfc2
fancd2,cad
fancd2,itgb2
fancd2,fermt3
fancd2,pdia3
fancd2,atp2a2
fancd2,efnb1
fancd2,bclaf1
fancd2,thrap3
fancd2,hsd17b11
fancd2,sdha
fancd2,slc25a3
fancd2,hells
fancd2,bag2
fancd2,tmed10
fancd2,lrp1
fancd2,ptprs
fancd2,srsf2
fancd2,prmt5
fancd2,slc2a1
fancd2,rac2
fancd2,cdc42
fancd2,elavl1
fancd2,lck
fancd2,h2afx
fancd2,slc25a12
fancd2,rpn1
fancd2,top2a
fancd2,ddx5
fancd2,fubp1
fancd2,smarca4
fancd2,rps6ka5
fancd2,add1
fancd2,smarcc1
fancd2,psmd7
fancd2,vim
fancd2,numa1
fancd2,sorbs3
fancd2,arpc4
fancd2,atp2b1
fancd2,vcam1
fancd2,igf2r
fancd2,ddx58
fancd2,eif3f
fancd2,brix1
fancd2,dnajb11
fancd2,rcn3
fancd2,ahctf1
fancd2,cand1
fancd2,mpp6
fancd2,nsf
fancd2,rbm39
fancd2,sdhb
fancd2,bcl2l11
fancd2,prkca
fancd2,vps35
fancd2,tfrc
fancd2,dis3
fancd2,acsl1
fancd2,nrp2
fancd2,slc25a4
fancd2,hck
fancd2,top2b
fancd2,pcbp1
fancd2,canx
fancd2,ubtf
fancd2,ehd1
fancd2,eef1g
fancd2,eef1b2
fancd2,lrrfip1
fancd2,prdx6
fancd2,rps11
fancd2,dpysl2
fancd2,lcp1
fancd2,chd4
fancd2,ctbp1
fancd2,ncam1
fancd2,luc7l2
fancd2,lrmp
fancd2,psmd11
fancd2,tap1
fancd2,csde1
fancd2,psmd5
fancd2,rpl32
fancd2,hp
fancd2,ranbp2
fancd2,actr2
fancd2,tmpo
fancd2,pdia6
fancd2,prdx2
fancd2,pfkp
fancd2,immt
fancd2,tubb2a
fancd2,gpx4
fancd2,gnai2
fancd2,nme1
fancd2,cnp
fancd2,uqcrc2
fancd2,atp5a1
fancd2,txn1
fancd2,cfl1
fancd2,dync1h1
fancd2,tpm3
fancd2,slc25a13
fancd2,phb2
fancd2,coro1a
fancd2,capzb
fancd2,mthfd1
fancd2,mpo
fancd2,rab35
fancd2,psmc3
fancd2,rpl13a
fancd2,rasal3
fancd2,snrpd2
fancd2,ncapg2
fancd2,iqgap1
fancd2,dnaja3
fancd2,ssb
fancd2,ebna1bp2
fancd2,ybx1
fancd2,ddx21
fancd2,rps19
fancd2,kpnb1
fancd2,ftl1
fancd2,zfp326
fancd2,flnb
fancd2,snrpf
fancd2,rps25
fancd2,mcm3
fancd2,mcm5
fancd2,mcm2
fancd2,mcm7
fancd2,ddx24
fancd2,lmnb1
fancd2,cct7
fancd2,mat2a
fancd2,rps8
fancd2,vav1
fancd2,psmd2
fancd2,galk1
fancd2,acsl5
fancd2,srsf6
fancd2,chchd3
fancd2,ass1
fancd2,rpl23
fancd2,ctcf
fancd2,rpl4
fancd2,hprt
fancd2,slc25a5
fancd2,tfg
fancd2,idh3b
fancd2,arhgef2
fancd2,gsn
fancd2,myh10
fancd2,pdhb
fancd2,dock7
fancd2,rab2a
